USA,91,523.06,22.462423
Canada,56,303.96,13.053336
France,35,195.10,8.378424
Brazil,35,190.10,8.163703
Germany,28,156.48,6.719917
United Kingdom,21,112.86,4.846688
Czech Republic,14,90.24,3.875289
Portugal,14,77.24,3.317014
India,13,75.26,3.231984
Chile,7,46.62,2.002061
Ireland,7,45.62,1.959117
Hungary,7,45.62,1.959117
Austria,7,42.62,1.830284
Finland,7,41.62,1.787340
Netherlands,7,40.62,1.744395
Norway,7,39.62,1.701451
Sweden,7,38.62,1.658507
Spain,7,37.62,1.615562
Poland,7,37.62,1.615562
Italy,7,37.62,1.615562
Belgium,7,37.62,1.615562
Argentina,7,37.62,1.615562
Australia,7,37.62,1.615562
Denmark,7,37.62,1.615562
